"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2015년 03월 18일","258.22","258.45","259.19","257.87","85.37K","0.02%"
"2015년 03월 17일","258.18","253.77","258.19","253.70","85.12K","2.27%"
"2015년 03월 16일","252.44","252.13","253.20","251.56","72.87K","0.10%"
"2015년 03월 13일","252.18","252.56","253.31","251.98","66.61K","0.76%"
"2015년 03월 12일","250.28","251.67","253.23","250.28","98.65K","-0.75%"
"2015년 03월 11일","252.16","250.09","252.66","250.09","79.67K","0.16%"
"2015년 03월 10일","251.75","253.76","254.16","251.75","76.30K","-0.40%"
"2015년 03월 09일","252.77","254.81","254.94","252.69","65.40K","-1.25%"
"2015년 03월 06일","255.96","254.74","256.15","254.73","83.13K","0.71%"
"2015년 03월 05일","254.16","254.02","254.86","253.64","58.42K","-0.06%"
"2015년 03월 04일","254.31","254.56","254.72","253.89","72.31K","-0.07%"
"2015년 03월 03일","254.50","254.55","254.97","253.89","87.50K","0.34%"
"2015년 03월 02일","253.65","253.13","253.74","252.39","92.83K","0.87%"
"2015년 02월 27일","251.46","252.73","252.83","251.20","80.29K","-0.58%"
"2015년 02월 26일","252.93","253.03","253.13","251.89","79.38K","-0.01%"
"2015년 02월 25일","252.96","252.72","253.22","252.01","79.62K","0.67%"
"2015년 02월 24일","251.28","251.83","252.11","251.09","61.66K","0.19%"
"2015년 02월 23일","250.80","252.13","252.51","250.56","58.97K","0.17%"
"2015년 02월 17일","250.37","249.36","250.67","248.92","55.68K","0.22%"
"2015년 02월 16일","249.81","250.17","250.55","249.54","52.10K","0.02%"
"2015년 02월 13일","249.76","248.65","249.76","248.26","63.13K","0.83%"
"2015년 02월 12일","247.71","248.48","248.50","246.32","66.38K","-0.28%"
"2015년 02월 11일","248.40","248.49","249.01","247.77","64.78K","0.30%"
"2015년 02월 10일","247.66","249.62","250.42","247.66","62.81K","-0.64%"
"2015년 02월 09일","249.26","249.05","249.94","248.58","64.83K","-0.36%"
"2015년 02월 06일","250.16","249.89","250.16","248.68","76.08K","0.15%"
"2015년 02월 05일","249.78","251.33","251.42","248.90","69.97K","-0.72%"
"2015년 02월 04일","251.60","251.98","253.07","251.60","78.23K","0.49%"
"2015년 02월 03일","250.38","251.63","251.66","249.22","79.09K","-0.09%"
"2015년 02월 02일","250.61","249.83","251.20","249.49","76.49K","0.29%"
"2015년 01월 30일","249.88","251.82","251.84","249.88","93.07K","-0.23%"
"2015년 01월 29일","250.46","250.45","251.84","249.78","83.37K","-0.69%"
"2015년 01월 28일","252.21","250.82","252.50","250.12","85.19K","0.00%"
"2015년 01월 27일","252.20","250.76","252.20","250.56","85.05K","0.82%"
"2015년 01월 26일","250.14","248.92","250.21","248.42","62.74K","-0.07%"
"2015년 01월 23일","250.32","251.76","251.80","249.55","78.37K","0.74%"
"2015년 01월 22일","248.47","249.22","249.98","248.01","76.61K","-0.05%"
"2015년 01월 21일","248.59","247.01","248.59","246.63","64.99K","0.55%"
"2015년 01월 20일","247.24","245.52","247.39","245.50","55.12K","1.00%"
"2015년 01월 19일","244.78","244.06","245.82","243.69","63.22K","1.06%"
"2015년 01월 16일","242.22","244.70","244.70","241.77","73.31K","-1.44%"
"2015년 01월 15일","245.76","245.96","246.63","244.90","59.45K","-0.09%"
"2015년 01월 14일","245.99","246.48","247.46","245.78","70.78K","-0.12%"
"2015년 01월 13일","246.29","244.98","246.64","244.47","59.91K","0.24%"
"2015년 01월 12일","245.70","245.16","246.27","245.05","64.52K","-0.14%"
"2015년 01월 09일","246.05","245.97","247.11","245.40","65.13K","0.86%"
"2015년 01월 08일","243.94","242.28","244.13","241.68","64.02K","1.42%"
"2015년 01월 07일","240.53","239.41","240.91","239.09","54.60K","0.25%"
"2015년 01월 06일","239.93","241.36","242.06","239.32","66.25K","-1.77%"
"2015년 01월 05일","244.26","243.83","244.56","241.76","62.85K","-0.22%"
"2015년 01월 02일","244.79","243.96","245.32","243.25","54.15K","0.30%"
"2014년 12월 30일","244.05","247.09","247.39","243.78","52.93K","-0.91%"
"2014년 12월 29일","246.30","248.25","248.45","246.30","44.54K","-1.50%"
"2014년 12월 26일","250.05","250.08","251.12","249.65","48.85K","-0.01%"
"2014년 12월 24일","250.07","249.16","250.17","248.63","43.54K","0.41%"
"2014년 12월 23일","249.06","249.58","249.92","248.74","50.66K","-0.26%"
"2014년 12월 22일","249.70","248.93","249.84","247.67","46.01K","0.70%"
"2014년 12월 19일","247.96","246.88","248.14","245.95","55.46K","1.70%"
"2014년 12월 18일","243.82","246.08","246.40","241.89","58.77K","0.04%"
"2014년 12월 17일","243.72","245.35","245.37","243.72","61.63K","-0.29%"
"2014년 12월 16일","244.43","244.73","246.57","243.96","67.73K","-0.75%"
"2014년 12월 15일","246.27","243.93","246.27","243.25","55.40K","-0.07%"
"2014년 12월 12일","246.44","246.20","247.23","245.48","62.64K","0.37%"
"2014년 12월 11일","245.54","247.22","248.37","245.53","69.80K","-1.53%"
